"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"Marine Le Pen","Aucune","Sud  Est","2 000 à 20 000 habitants","Femme","25 à 34 ans","ouvriers","employés et personnels de services","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Sud Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","agriculteurs exploitants","agriculteurs exploitants","Pas de réponse","Catholique","Jamais"
"Nicolas Sarkozy","France 2","Est","Moins de 2000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Est","Moins de 2000 habitants","Homme","65 ans et plus","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","Au moins une fois par semaine"
"François Hollande","France 2","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","France 2","Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","BAC général","Sans religion","NA"
"Marine Le Pen","Aucune","Est","Plus de 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","France 2","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","Autre","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","Sans diplôme","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","BFM TV","Nord","Plus de 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","TF1","Sud  Est","Plus de 100 000 habitants","Femme","65 ans et plus","retraités / autres inactifs","retraités / autres inactifs","Certificat d'études primaires","Catholique","Au moins une fois par semaine"
"Abstention","TF1","Sud Ouest","Moins de 2000 habitants","Femme","65 ans et plus","agriculteurs exploitants","agriculteurs exploitants","Certificat d'études primaires","Catholique","Au moins une fois par semaine"
"Jean-Luc Mélenchon","Aucune","Sud Ouest","Plus de 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"NA","Autre","Paris","Agglomération parisienne","Homme","18 à 24 ans","employés et personnels de services","artisans, commercants et chef d entreprises","BAC technique","Musulmane","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Sans opinion","NA"
"François Hollande","Aucune","Nord","Plus de 100 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","Aucune","Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"François Hollande","France 2","Paris","Agglomération parisienne","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","France 2","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC général","Sans religion","NA"
"Nicolas Sarkozy","Autre","Est","Plus de 100 000 habitants","Femme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Catholique","Jamais"
"François Bayrou","BFM TV","Sud Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Nord","2 000 à 20 000 habitants","Femme","65 ans et plus","retraités / autres inactifs","retraités / autres inactifs","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","Aucune","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","France 3","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Paris","Agglomération parisienne","Homme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Marine Le Pen","M6","Sud Ouest","Plus de 100 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Jamais"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","25 à 34 ans","retraités / autres inactifs","employés et personnels de services","BAC+2 / niveau BAC+2","Musulmane","Jamais"
"François Hollande","France 2","Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","France 3","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"François Hollande","Aucune","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","Aucune","Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","agriculteurs exploitants","agriculteurs exploitants","Sans diplôme","Sans religion","NA"
"François Bayrou","BFM TV","Paris","Agglomération parisienne","Femme","35 à 49 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Sans religion","NA"
"Jean-Luc Mélenchon","BFM TV","Paris","Agglomération parisienne","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC technique","Juive","Au moins une fois par semaine"
"François Hollande","TF1","Est","20 000 à 100 000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","Sans diplôme","Musulmane","De temps en temps, aux grandes fêtes"
"François Hollande","TF1","Nord","Moins de 2000 habitants","Homme","50 à 64 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC+2 / niveau BAC+2","Catholique","Jamais"
"François Bayrou","Aucune","Paris","Agglomération parisienne","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","Aucune","Paris","Agglomération parisienne","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Marine Le Pen","TF1","Paris","Agglomération parisienne","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Sans religion","NA"
"François Bayrou","Aucune","Sud  Est","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","TF1","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","BFM TV","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Musulmane","Jamais"
"Abstention","TF1","Est","20 000 à 100 000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Aucune","Sud Ouest","Plus de 100 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"NA","Aucune","Paris","Agglomération parisienne","Femme","18 à 24 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Musulmane","De temps en temps, aux grandes fêtes"
"Abstention","TF1","Est","2 000 à 20 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Sud  Est","20 000 à 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","Aucune","Paris","Agglomération parisienne","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","BAC général","Sans religion","NA"
"Abstention","France 2","Sud  Est","Moins de 2000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","M6","Sud Ouest","Moins de 2000 habitants","Femme","18 à 24 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Sans religion","NA"
"François Bayrou","France 2","Ouest","20 000 à 100 000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Marine Le Pen","Autre","Est","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Protestante","De temps en temps, aux grandes fêtes"
"Nicolas Dupont-Aignan","Aucune","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
